hostname;host_ipv4_address;address_family;alias;agent;snmp_ds
NDataCtr-C9500-40x-mdf-01;10.1.100.1;ipv4;;no-agent;snmp-v2
print-srvr.bryan.k12.ga.us;10.8.0.130;ipv4;;no-agent;snmp-v2
PS-COS-6;10.8.11.55;ipv4;;no-agent;snmp-v2
ps-vm;10.8.0.125;ipv4;;no-agent;snmp-v2
PS-VM-iDrac;10.8.6.251;ipv4;;no-agent;snmp-v2
RHES-2930F-IDF2;10.13.2.21;ipv4;;no-agent;snmp-v2
RHES-2930F-MDF;10.13.2.2;ipv4;;no-agent;snmp-v2
rhes-c2960x-IDF1-01;10.13.2.11;ipv4;;no-agent;snmp-v2
rhes-c2960x-IDF2-01;10.13.2.21;ipv4;;no-agent;snmp-v2
rhes-c2960x-IDF3-01;10.13.2.31;ipv4;;no-agent;snmp-v2
rhes-c3850_12s-mdf-01;10.13.2.1;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF01;10.2.2.11;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF03;10.2.2.31;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF04;10.2.2.41;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF06;10.2.2.61;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF07;10.2.2.71;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF-GYM-A;10.2.2.21;ipv4;;no-agent;snmp-v2
RHHS-EAST-IDF-Trailer-903;10.2.2.51;ipv4;;no-agent;snmp-v2
RHHS-EAST-MDF;10.2.2.10;ipv4;;no-agent;snmp-v2
RHHS-EAST-MDF-CORE;10.2.2.1;ipv4;;no-agent;snmp-v2
RHHS-EAST-Trailer-905;10.2.2.52;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF11;10.2.2.111;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF14;10.2.2.141;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF15;10.2.2.151;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF-GYM;10.2.2.121;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF-RM608;10.2.2.101;ipv4;;no-agent;snmp-v2
RHHS-WEST-IDF-Trailer-801;10.2.2.131;ipv4;;no-agent;snmp-v2
RHHS-WEST-MDF;10.2.2.82;ipv4;;no-agent;snmp-v2
RHHS-WEST-MDF-1;10.2.2.83;ipv4;;no-agent;snmp-v2
RHHS-WEST-MDF-AGG;10.2.2.81;ipv4;;no-agent;snmp-v2
RHMS-core;10.3.2.1;ipv4;;no-agent;snmp-v2
RHMS-IDF-300-A;10.3.2.11;ipv4;;no-agent;snmp-v2
RHMS-IDF-300-B-NewWing;10.3.2.12;ipv4;;no-agent;snmp-v2
RHMS-IDF-400-A;10.3.2.21;ipv4;;no-agent;snmp-v2
RHMS-IDF-400-B;10.3.2.22;ipv4;;no-agent;snmp-v2
RHMS-IDF-500-A;10.3.2.31;ipv4;;no-agent;snmp-v2
RHMS-IDF-500-B;10.3.2.32;ipv4;;no-agent;snmp-v2
RHMS-IDF-MDF;10.3.2.10;ipv4;;no-agent;snmp-v2
RHMS-MON;10.3.30.2;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF1-01;10.14.2.11;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF2-01;10.14.2.21;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF3-01;10.14.2.31;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF4-01;10.14.2.41;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF5-01;10.14.2.51;ipv4;;no-agent;snmp-v2
rhps-2960x-IDF6-01;10.14.2.61;ipv4;;no-agent;snmp-v2
rhps-c2960x-MDF-02;10.14.2.2;ipv4;;no-agent;snmp-v2
rhps-c3850_12S-mdf-01;10.14.2.1;ipv4;;no-agent;snmp-v2
South-6880X;192.168.100.1;ipv4;;no-agent;snmp-v2
South-6880x;192.168.201.1;ipv4;;no-agent;snmp-v2
South-pa3260;192.168.4.2;ipv4;;no-agent;snmp-v2
southbryanesxi;10.101.0.20;ipv4;;no-agent;snmp-v2
SouthCOS1;10.101.0.242;ipv4;;no-agent;snmp-v2
SouthCOS2;10.101.0.243;ipv4;;no-agent;snmp-v2
SouthCOS3;10.101.0.244;ipv4;;no-agent;snmp-v2
SouthCOS4;10.101.0.201;ipv4;;no-agent;snmp-v2
SouthCOS5;10.101.0.203;ipv4;;no-agent;snmp-v2
SouthEsxi-iDrac;10.101.0.240;ipv4;;no-agent;snmp-v2
SouthRouter;10.4.1.1;ipv4;;no-agent;snmp-v2
ubuntu-cos;10.8.11.92;ipv4;;no-agent;snmp-v2
ubuntu-proliant;10.8.0.222;ipv4;;no-agent;snmp-v2
ubuntu-proliant.bryan.k12.ga.us;10.8.0.222;ipv4;;no-agent;snmp-v2
vCenter;10.8.0.150;ipv4;;no-agent;snmp-v2
